"Model","Alpha","Lambda_min","Lambda_1se","Training_RMSE","CV_RMSE_min","CV_RMSE_1se","Nonzero_min","Nonzero_1se"
"Ridge",0,0.0528067057458264,0.268269579527973,0.664176269441356,0.671342237875857,0.676459376793353,11,11
"Lasso",1,0.00517947467923122,0.0372759372031494,0.663971736310995,0.671157104219319,0.677153182197058,9,7
"Elastic Net",0.75,0.00653320145959378,0.0470185148929986,0.663948470006522,0.671170469980098,0.676875787000337,9,7
