"Model","Training_RMSE","CV_RMSE","CV_MAE","CV_R2","Predictors"
"Mean",0.824152862748453,0.824173929874116,0.694860718718673,-5.11249693480043e-05,0
"OLS",0.663432813420239,0.672564994190993,0.515829610481282,0.334032592022585,11
