"Model","Alpha","Lambda_min","Lambda_1se","CV_RMSE_min","Nonzero_min","Nonzero_1se"
"Ridge",0,0.0528067057458264,0.268269579527973,0.671342237875857,11,11
"Lasso",1,0.00517947467923122,0.0372759372031494,0.671157104219319,9,7
"Elastic Net",0.75,0.00653320145959378,0.0470185148929986,0.671170469980098,9,7
