"Model","Training_RMSE","CV_RMSE","CV_MAE","CV_R2","Predictors"
"Mean",0.824152862748453,0.824173929874116,0.694860718718673,-5.11249693480043e-05,0
"OLS",0.64284017261504,0.649506639895962,0.498607900133067,0.378914132215684,11
