"Model","Alpha","Lambda_min","Lambda_1se","Training_RMSE","CV_RMSE_min","CV_RMSE_1se","Nonzero_min","Nonzero_1se"
"Ridge",0,0.0418647728828995,0.380042295636589,0.643237849150637,0.64870812602523,0.658880513021423,11,11
"Lasso",1,0.0103945746537226,0.0470185148929986,0.644755283178087,0.648891732926185,0.657834495686673,8,7
"Elastic Net",0.75,0.0131113393742157,0.0666084629080916,0.644661186803643,0.648943434512743,0.659366443503915,8,7
