"Model","Alpha","Lambda_min","Lambda_1se","CV_RMSE_min","Nonzero_min","Nonzero_1se"
"Ridge",0,0.0418647728828995,0.380042295636589,0.64870812602523,11,11
"Lasso",1,0.0103945746537226,0.0470185148929986,0.648891732926185,8,7
"Elastic Net",0.75,0.0131113393742157,0.0666084629080916,0.648943434512743,8,7
